Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14
Time,Eul-X,Eul-Y,Eul-Z,Accel-X,Accel-Y,Accel-Z,Omega-X,Omega-Y,Omega-Z,Gyro-X,Gyro-Y,Gyro-Z,Tag
"1519,742","10,7100000381","75,5599975586","-11,1300001144",-259,13,65,0,"0,0500000007","0,0099999998",0,"0,0399999991",0,0
"1519,757","10,8400001526","75,6399993896","-11,0100002289",-259,13,66,"0,0099999998","0,0599999987","0,0099999998",0,"0,0399999991","0,0099999998",0
"1519,798","10,970000267","75,6900024414","-10,8699998856",-262,13,65,0,"0,0399999991","0,0199999996",0,"0,0500000007","0,0199999996",0
"1519,848","11,0100002289","75,7799987793","-10,8500003815",-258,13,67,"0,0099999998","0,0399999991",0,0,"0,0199999996",0,0
"1519,93","10,8599996567","75,7200012207",-11,-258,12,63,0,"-0,0199999996","-0,0099999998",0,"0,0299999993","-0,0099999998",0
"1519,951","10,4200000763","76,0699996948","-11,3900003433",-255,11,64,"-0,0099999998","0,0700000003","-0,0399999991","-0,0099999998","0,0399999991","-0,0199999996",0
"1519,997","10,2299995422","76,1100006104","-11,5699996948",-259,11,63,"-0,0099999998","0,0199999996","-0,0299999993",0,"0,0500000007","-0,0199999996",0
"1520,05","9,9499998093","76,2699966431","-11,9099998474",-263,8,65,"0,0099999998","0,0500000007","-0,0399999991","0,0199999996","0,0500000007","-0,0199999996",0
"1520,098","8,8100004196","76,3600006104","-13,0100002289",-260,11,63,"-0,0199999996","0,0099999998","-0,0900000036",0,"0,0399999991","-0,0199999996",0
"1520,183","8,8400001526","76,3799972534","-13,0399999619",-257,10,62,"0,0199999996","0,0099999998",0,"0,0199999996","0,0099999998","-0,0199999996",0
"1520,203","8,8900003433","76,5999984741","-12,970000267",-259,13,63,0,"0,0500000007",0,0,"0,0500000007",0,0
"1520,256","9,1599998474","76,6100006104","-12,6800003052",-258,12,64,"-0,0099999998","0,0099999998","0,0500000007","-0,0199999996","0,0399999991","-0,0099999998",0
"1520,304","9,5200004578","76,5400009155","-12,3100004196",-262,8,63,0,"-0,0199999996","0,0299999993",0,"0,0399999991",0,0
"1520,35","9,0200004578","76,4899978638","-12,7899999619",-261,10,63,"-0,0099999998","-0,0199999996","-0,0399999991",0,"-0,0099999998","0,0199999996",0
"1520,403","8,9600000381","76,5","-12,8599996567",-259,11,61,0,0,"-0,0099999998","0,0099999998","0,0199999996",0,0
"1520,449","9,0100002289","76,4700012207","-12,8100004196",-259,9,60,0,"-0,0099999998","0,0099999998","-0,0099999998","-0,0199999996","-0,0099999998",0
"1520,499","8,6499996185","76,5400009155","-13,1599998474",-259,8,60,"-0,0099999998","0,0199999996","-0,0299999993","-0,0099999998","-0,0199999996","-0,0099999998",0
"1520,549","8,2600002289","76,5800018311","-13,6599998474",-259,7,60,"0,0399999991","0,0099999998","-0,0399999991","0,0399999991","-0,0199999996","-0,0099999998",0
"1520,601","7,7100000381","76,6399993896","-14,279999733",-259,10,63,"0,0199999996","0,0099999998","-0,0500000007","0,0299999993","-0,0199999996","-0,0099999998",0
"1520,65","7,8899998665","76,5299987793","-14,1499996185",-261,10,63,"0,0199999996","-0,0399999991","0,0199999996","0,0099999998",0,"-0,0099999998",0
"1520,7","8,1300001144","76,4300003052","-13,9099998474",-261,10,61,"0,0099999998","-0,0299999993","0,0199999996",0,"-0,0199999996",0,0
"1520,75","8,5","76,4599990845","-13,6099996567",-261,10,63,"0,0299999993","0,0099999998","0,0199999996","0,0199999996","-0,0199999996","0,0099999998",0
