Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,
Time,Eul-X,Eul-Y,Eul-Z,Accel-X,Accel-Y,Accel-Z,Omega-X,Omega-Y,Omega-Z,Gyro-X,Gyro-Y,Gyro-Z,Tag
"2208,21","-5,170000076","76,43000031","-21,14999962",-262,-6,61,0,"-0,039999999",0,0,"0,01","0,01",0
2208222,"-5,170000076","76,43000031","-21,14999962",-262,-6,61,0,"-0,039999999",0,0,"0,01","0,01",0
2208248,"-5,289999962","76,48999786","-21,26000023",-258,-6,58,"-0,01","0,029999999","-0,01","-0,01","-0,01","0,01",0
2208273,"-5,420000076","76,55999756","-21,36000061",-254,-6,60,"-0,02","0,050000001","-0,01","-0,02","-0,02",0,0
2208303,"-5,519999981","76,58000183","-21,44000053",-257,-4,60,"-0,01","0,01","-0,01","-0,01",0,0,0
2208356,"-5,369999886","76,66000366","-21,28000069",-259,-3,61,0,"0,050000001","0,029999999","-0,01","0,029999999",0,0
2208422,"-4,389999866","76,70999908","-20,32999992",-262,-5,61,"0,02","0,01","0,07",0,"0,01","0,029999999",0
2208453,"-4,489999771","76,80999756","-20,26000023",-260,-2,60,"-0,039999999","0,029999999","0,01","-0,050000001","0,01","0,02",0
2208503,"-4,059999943","76,87000275","-19,78000069",-260,-3,62,"-0,02","0,029999999","0,059999999","-0,039999999","0,01","0,02",0
2208557,"-3,619999886","76,77999878","-19,29999924",-259,-5,60,"-0,01","-0,029999999","0,039999999","-0,029999999","-0,01","0,02",0
2208604,"-3,589999914","76,79000092","-19,23999977",-260,-3,60,"-0,01",0,0,"-0,02","-0,01","0,039999999",0
2208682,"-3,420000076","76,81999969",-19,-260,-4,62,"-0,02","0,01","0,02","-0,039999999","-0,01","0,02",0
2208708,"-3,299999952","76,75","-18,77000046",-260,-5,64,"-0,029999999","-0,02","0,01","-0,02","0,01","0,029999999",0
2208754,"-3,440000057","76,68000031","-18,87999916",-259,-4,63,"-0,02","-0,050000001","-0,02","-0,02","0,01","0,02",0
2208808,"-3,430000067","76,51999664","-18,85000038",-261,-4,63,0,"-0,059999999",0,0,"-0,029999999","0,01",0
